Frequency,Actual Temperature,Normalized Frequency,Normalized Temperature,Predicted Temperature,Error
18.40095685,48,-0.2726890515055717,0.02387678476538935,40.866187424292036,7.133812575707964
17.9633189,47,-0.27703525600216894,-0.00622872646053625,40.47532999408834,6.524670005911659
17.54293634,47,-0.2812100963526528,-0.00622872646053625,40.098503672220765,6.901496327779235
17.1400168,46,-0.28521151057304867,-0.03633423768646185,39.73605814703744,6.26394185296256
16.76108746,46,-0.28897467691043016,-0.03633423768646185,39.394052835427686,6.605947164572314
16.40500681,45,-0.2925109317580302,-0.06643974891238745,39.07165978892058,5.928340211079423
16.06296683,45,-0.2959077480055518,-0.06643974891238745,38.76105519969437,6.238944800305632
15.74009948,44,-0.2991141599000743,-0.09654526013831305,38.467028516880006,5.532971483119994
15.42900344,44,-0.3022036703228372,-0.09654526013831305,38.18295488727568,5.817045112724323
15.13706613,43,-0.30510291443420023,-0.12665077136423866,37.91568985070073,5.08431014929927
14.85839945,43,-0.3078703672514612,-0.12665077136423866,37.659953015334146,5.340046984665854
14.5925753,42,-0.3105102802572555,-0.15675628259016425,37.41543565286638,4.584564347133622
14.34349809,42,-0.31298387855946375,-0.15675628259016425,37.185820134192355,4.814179865807645
14.1017867,41,-0.3153843265327183,-0.18686179381608986,36.96252900605387,4.03747099394613
13.87270407,41,-0.3176593576551297,-0.18686179381608986,36.750479925380155,4.249520074619845
13.65541915,41,-0.3198172251260535,-0.18686179381608986,36.54896912568123,4.451030874318768
13.44935645,40,-0.3218636441656294,-0.21696730504201545,36.35752154035479,3.6424784596452113
13.25117604,40,-0.3238317837867008,-0.21696730504201545,36.17308051818687,3.8269194818131282
13.06694194,40,-0.32566142190160047,-0.21696730504201545,36.001340056702986,3.998659943297014
12.88842491,39,-0.3274342835067359,-0.24707281626794106,35.83467228763597,3.165327712364032
12.71504317,39,-0.3291561462885533,-0.24707281626794106,35.672556797875885,3.3274432021241154
12.55303658,39,-0.33076504188349976,-0.24707281626794106,35.520861393372556,3.479138606627444
12.395721,38,-0.3323273508221573,-0.27717832749386667,35.37335857702854,2.62664142297146
12.24634753,38,-0.3338107862668813,-0.27717832749386667,35.23312000894204,2.7668799910579622
12.10199562,38,-0.33524435234663835,-0.27717832749386667,35.09742685067217,2.9025731493278286
11.96429853,37,-0.3366118290742081,-0.30728383871979226,34.96783431860831,2.032165681391689
11.83011948,37,-0.3379443679695648,-0.30728383871979226,34.841407011968975,2.1585929880310246
11.70302406,37,-0.3392065589790531,-0.30728383871979226,34.72152130326502,2.278478696734979
11.58158065,37,-0.3404126195929101,-0.30728383871979226,34.606846165505026,2.3931538344949743
11.46355164,37,-0.34158477162860745,-0.30728383871979226,34.495281898828345,2.5047181011716546
11.34970718,36,-0.34271536668775326,-0.33738934994571784,34.38756713710346,1.61243286289654
11.24113356,36,-0.34379361676971215,-0.33738934994571784,34.28474251014491,1.715257489855091
11.1362295,36,-0.3448354242667158,-0.33738934994571784,34.18530319922514,1.8146968007748612
11.03460452,36,-0.34584466705528705,-0.33738934994571784,34.08888779548818,1.9111122045118165
10.93673101,35,-0.34681665380657256,-0.3674948611716434,33.99595301727743,1.0040469827225706
10.8394034,35,-0.3477832191974969,-0.3674948611716434,33.90346012502033,1.096539874979669
10.74702576,35,-0.34870062618734554,-0.3674948611716434,33.81560073087732,1.1843992691226788
10.65496042,35,-0.3496149317101841,-0.3674948611716434,33.7279699221222,1.272030077877801
10.56557524,35,-0.35050262042923863,-0.3674948611716434,33.64282476537163,1.3571752346283716
10.47625034,34,-0.35138971050458084,-0.39760037239756907,33.557672606793005,0.44232739320699466
10.38766776,34,-0.352269428562661,-0.39760037239756907,33.473164450604536,0.5268355493954644
10.30216242,34,-0.3531185863955022,-0.39760037239756907,33.391531845526565,0.6084681544734352
10.21627862,34,-0.3539715027336417,-0.39760037239756907,33.309478406348624,0.6905215936513756
10.13273888,34,-0.35480114009400443,-0.39760037239756907,33.22960722170512,0.7703927782948767
10.05318133,33,-0.3555912301251552,-0.42770588362349465,33.15349082627209,-0.15349082627209043
9.976754163,33,-0.3563502321652607,-0.42770588362349465,33.0803211258173,-0.08032112581729933
9.90314722,33,-0.3570812264189523,-0.42770588362349465,33.0098066901832,-0.00980669018319702
9.829458888,33,-0.35781302895089717,-0.42770588362349465,32.9391702739296,0.060829726070402046
