Frequency,Actual Temperature,Normalized Frequency,Normalized Temperature,Predicted Temperature,Error
71.25044532,86,0.2521618770557607,1.1678862113505621,89.31600454838451,-3.3160045483845124
67.18624026,84,0.21180005215719963,1.1076751888987109,87.32452922790888,-3.324529227908883
63.43165239,82,0.17451305114765864,1.0474641664468598,85.32561684234867,-3.3256168423486656
59.95203837,80,0.13995682927488268,0.9872531439950085,83.32615710109353,-3.3261571010935285
56.74402769,79,0.10809791383451024,0.957147632769083,81.34894429314664,-2.348944293146644
53.78946802,77,0.07875603312416768,0.8969366103172317,79.40739421531704,-2.4073942153170407
51.08295872,76,0.051877553116338716,0.8668310990913062,77.5218280562465,-1.5218280562465054
48.5932261,75,0.027151893222426827,0.8367255878653805,75.69246367726069,-0.6924636772606902
46.34564583,73,0.004831060497711706,0.7765145654135294,73.9595439226325,-0.9595439226325055
44.28894105,72,-0.015594178133922169,0.7464090541876037,72.30337300483724,-0.3033730048372405
42.39803273,71,-0.03437288378099217,0.7163035429616782,70.71923177462756,0.28076822537244084
40.66859165,70,-0.05154805014509738,0.6861980317357526,69.21714839399532,0.7828516060046837
39.05639744,69,-0.0675588319451905,0.6560925205098269,67.769781434286,1.2302185657139972
37.54176521,67,-0.08260072081409935,0.5958814980579757,66.36747957737172,0.632520422628275
36.09717359,67,-0.09694703286174217,0.5958814980579757,64.99069089897839,2.009309101021614
34.7306637,65,-0.1105179113208945,0.5356704756061246,63.652154556287,1.3478454437129983
33.4291636,64,-0.1234431742852735,0.5055649643801989,62.343892320005594,1.6561076799944061
32.18538783,63,-0.1357951740246304,0.47545945315427335,61.062572548801676,1.9374274511983245
31.01736973,62,-0.14739482053226757,0.44535394192834776,59.831103449121954,2.1688965508780456
29.90698926,61,-0.15842206483694396,0.4152484307024221,58.63462135929373,2.3653786407062682
28.86169476,60,-0.16880293709943484,0.38514291947649654,57.48491690889549,2.5150830911045077
27.86679671,59,-0.17868331968180873,0.35503740825057095,56.36926631072125,2.630733689278749
26.93312505,58,-0.18795565990513124,0.32493189702464537,55.30302412641215,2.696975873587853
26.04302307,57,-0.1967953074446239,0.2948263857987197,54.26893800051643,2.731061999483572
25.20288321,56,-0.20513877865707833,0.26472087457279414,53.27692561476815,2.723074385231847
24.39976576,56,-0.21311457845342988,0.26472087457279414,52.313946273739234,3.6860537262607664
23.64457475,55,-0.22061441836322704,0.23461536334686856,51.395185619447275,3.6048143805527246
22.93157219,54,-0.22769528265380637,0.20450985212094294,50.51583503233281,3.4841649676671906
22.25436742,53,-0.23442063729110665,0.17440434089501736,49.669804609405894,3.330195390594106
21.60994057,52,-0.24082047275601093,0.14429882966909174,48.85482923205077,3.1451707679492316
21.00266734,51,-0.24685133375170185,0.11419331844316614,48.07792684047848,2.922073159521517
20.4248366,51,-0.25258979989811375,0.11419331844316614,47.33058989076648,3.6694101092335174
19.88071571,50,-0.25799349182841935,0.08408780721724055,46.61956918464631,3.380430815353691
19.35771114,49,-0.2631874765225596,0.053982295991314946,45.92943147870856,3.0705685212914418
18.86970469,49,-0.2680338931264178,0.053982295991314946,45.27949966882995,3.720500331170051
18.40095685,48,-0.2726890515055717,0.02387678476538935,44.64974580329763,3.350254196702373
17.9633189,47,-0.27703525600216894,-0.00622872646053625,44.056916446039715,2.9430835539602853
17.54293634,47,-0.2812100963526528,-0.00622872646053625,43.48300418481209,3.5169958151879115
17.1400168,46,-0.28521151057304867,-0.03633423768646185,42.92880894284803,3.071191057151971
16.76108746,46,-0.28897467691043016,-0.03633423768646185,42.403907102664284,3.5960928973357156
16.40500681,45,-0.2925109317580302,-0.06643974891238745,41.90736618895604,3.09263381104396
16.06296683,45,-0.2959077480055518,-0.06643974891238745,41.42738791986704,3.572612080132963
15.74009948,44,-0.2991141599000743,-0.09654526013831305,40.97158924929615,3.0284107507038485
15.42900344,44,-0.3022036703228372,-0.09654526013831305,40.529893476089676,3.4701065239103244
15.13706613,43,-0.30510291443420023,-0.12665077136423866,40.11314474724039,2.8868552527596094
14.85839945,43,-0.3078703672514612,-0.12665077136423866,39.71329542851043,3.2867045714895724
14.5925753,42,-0.3105102802572555,-0.15675628259016425,39.33000486694231,2.6699951330576894
14.34349809,42,-0.31298387855946375,-0.15675628259016425,38.969199830421545,3.0308001695784554
14.1017867,41,-0.3153843265327183,-0.18686179381608986,38.61752212556233,2.3824778744376687
13.87270407,41,-0.3176593576551297,-0.18686179381608986,38.282811532593904,2.717188467406096
13.65541915,41,-0.3198172251260535,-0.18686179381608986,37.96406905204207,3.0359309479579295
13.44935645,40,-0.3218636441656294,-0.21696730504201545,37.66064359886063,2.3393564011393693
13.25117604,40,-0.3238317837867008,-0.21696730504201545,37.367770011626455,2.6322299883735454
13.06694194,40,-0.32566142190160047,-0.21696730504201545,37.09457637546283,2.905423624537171
12.88842491,39,-0.3274342835067359,-0.24707281626794106,36.82900326299195,2.1709967370080534
12.71504317,39,-0.3291561462885533,-0.24707281626794106,36.57026019385418,2.429739806145818
12.55303658,39,-0.33076504188349976,-0.24707281626794106,36.32776998098918,2.6722300190108186
12.395721,38,-0.3323273508221573,-0.27717832749386667,36.09163161877431,1.9083683812256922
12.24634753,38,-0.3338107862668813,-0.27717832749386667,35.866802778135266,2.1331972218647337
12.10199562,38,-0.33524435234663835,-0.27717832749386667,35.64896454161133,2.3510354583886723
11.96429853,37,-0.3366118290742081,-0.30728383871979226,35.440648028412255,1.5593519715877449
11.83011948,37,-0.3379443679695648,-0.30728383871979226,35.23716358605306,1.7628364139469426
11.70302406,37,-0.3392065589790531,-0.30728383871979226,35.043974507817914,1.9560254921820857
11.58158065,37,-0.3404126195929101,-0.30728383871979226,34.85896959412336,2.1410304058766414
11.46355164,37,-0.34158477162860745,-0.30728383871979226,34.67878428877396,2.3212157112260385
11.34970718,36,-0.34271536668775326,-0.33738934994571784,34.50463001094652,1.4953699890534793
11.24113356,36,-0.34379361676971215,-0.33738934994571784,34.338211568292394,1.6617884317076062
11.1362295,36,-0.3448354242667158,-0.33738934994571784,34.17711377094625,1.8228862290537506
11.03460452,36,-0.34584466705528705,-0.33738934994571784,34.02076627864268,1.9792337213573177
10.93673101,35,-0.34681665380657256,-0.3674948611716434,33.8699245711862,1.1300754288137966
10.8394034,35,-0.3477832191974969,-0.3674948611716434,33.719665266554216,1.280334733445784
10.74702576,35,-0.34870062618734554,-0.3674948611716434,33.5768088193464,1.4231911806536033
10.65496042,35,-0.3496149317101841,-0.3674948611716434,33.43420329041941,1.5657967095805887
10.56557524,35,-0.35050262042923863,-0.3674948611716434,33.295527320892305,1.7044726791076954
10.47625034,34,-0.35138971050458084,-0.39760037239756907,33.15672620073253,0.8432737992674717
10.38766776,34,-0.352269428562661,-0.39760037239756907,33.01886242172482,0.981137578275181
10.30216242,34,-0.3531185863955022,-0.39760037239756907,32.88558344584596,1.1144165541540403
10.21627862,34,-0.3539715027336417,-0.39760037239756907,32.75151219600616,1.2484878039938394
10.13273888,34,-0.35480114009400443,-0.39760037239756907,32.62090539988014,1.3790946001198634
10.05318133,33,-0.3555912301251552,-0.42770588362349465,32.496345602423915,0.503654397576085
9.976754163,33,-0.3563502321652607,-0.42770588362349465,32.37652246264109,0.6234775373589088
